name,id,guid,type,icon,itemLevel,total,abilitiesName,abilitiesTotal,abilitiesType,encounterId,encounterName,encounterDifficulty,encounterKill,encounterDate
Klejnotnilu,89,182929355,DeathKnight,DeathKnight-Blood,445,1,Elemental Potion of Ultimate Power,1,1,2685,2685,5,False,04/10/23
Catherinee,105,180636202,Monk,Monk-Windwalker,444,1,Elemental Potion of Ultimate Power,1,1,2685,2685,5,False,04/10/23
Arathil,85,150634218,Warlock,Warlock-Affliction,446,1,Elemental Potion of Ultimate Power,1,1,2685,2685,5,False,04/10/23
Pazuzell,84,140773839,DemonHunter,DemonHunter-Vengeance,445,1,Elemental Potion of Ultimate Power,1,1,2685,2685,5,False,04/10/23
Owsianko,100,180528313,DeathKnight,DeathKnight-Unholy,445,1,Elemental Potion of Ultimate Power,1,1,2685,2685,5,False,04/10/23
Qquo,103,165177271,Priest,Priest-Shadow,445,1,Elemental Potion of Ultimate Power,1,1,2685,2685,5,False,04/10/23
Bärman,88,181432362,Warrior,Warrior-Fury,444,1,Elemental Potion of Ultimate Power,1,1,2685,2685,5,False,04/10/23
Lefox,129,175528845,Shaman,Shaman-Restoration,444,1,Elemental Potion of Ultimate Power,1,1,2685,2685,5,False,04/10/23
Killeen,102,181540927,Evoker,Evoker-Devastation,446,1,Elemental Potion of Ultimate Power,1,1,2685,2685,5,False,04/10/23
Grubi,94,180755381,Rogue,Rogue-Subtlety,445,1,Elemental Potion of Ultimate Power,1,1,2685,2685,5,False,04/10/23
Peanutmage,131,180616658,Mage,Mage-Fire,445,1,Elemental Potion of Ultimate Power,1,1,2685,2685,5,False,04/10/23
Màmbà,99,183169964,Paladin,Paladin-Holy,446,1,Elemental Potion of Ultimate Power,1,1,2685,2685,5,False,04/10/23
Meeow,95,143983765,Druid,Druid-Feral,447,1,Elemental Potion of Ultimate Power,1,1,2685,2685,5,False,04/10/23
Nugera,92,181593749,Evoker,Evoker-Augmentation,445,1,Elemental Potion of Ultimate Power,1,1,2685,2685,5,False,04/10/23
Wajpcieto,96,162459010,Shaman,Shaman-Enhancement,445,1,Elemental Potion of Ultimate Power,1,1,2685,2685,5,False,04/10/23
Shlauffu,104,182304349,Priest,Priest-Shadow,446,1,Elemental Potion of Ultimate Power,1,1,2685,2685,5,False,04/10/23
